"","c_d","s_d"
"1",1387,2020
"2",1584,1803
"3",1637,1438
"4",1619,1149
"5",1583,956
"6",1390,1038
"7",694,1160
"8",371,912
"9",145,542
"10",33,130
"11",329,-90
"12",813,25
"13",1109,495
"14",978,1030
"15",689,1222
"16",628,1105
"17",831,933
"18",1076,888
"19",1163,851
"20",1020,655
"21",836,238
"22",772,-2
"23",801,-17
"24",813,-46
"25",881,-173
"26",988,-343
"27",1089,-256
"28",1066,189
"29",859,667
"30",524,874
"31",225,722
"32",77,501
"33",72,471
"34",148,567
"35",283,676
"36",595,933
"37",977,1575
"38",1625,2039
"39",2037,2011
"40",2201,1883
"41",2180,1797
"42",2085,1792
"43",1822,1859
"44",1192,1688
"45",971,1121
"46",683,695
"47",701,291
"48",915,52
"49",1423,417
"50",1605,1294
"51",1486,1273
"52",1421,1134
"53",1419,1036
"54",1472,940
"55",1487,863
"56",864,807
"57",871,570
"58",853,539
"59",991,780
"60",1160,998
"61",1237,1218
"62",1104,1108
"63",899,994
"64",747,960
"65",635,819
"66",483,642
"67",440,693
"68",1120,1221
"69",1580,1281
"70",1856,1325
"71",1914,1576
"72",2025,1939
"73",1856,2108
"74",1551,1857
"75",1458,1320
"76",1595,960
"77",1768,986
"78",1745,1156
"79",1549,1329
"80",1352,1318
"81",1280,1181
"82",1281,1182
"83",1270,1279
"84",1248,1416
"85",1238,1427
"86",1319,1393
"87",1505,1382
"88",1676,1426
"89",1770,1469
"90",1815,1472
"91",1661,1453
"92",1328,1447
"93",997,1358
"94",882,1281
"95",1003,1317
"96",1160,1503
"97",1157,1549
"98",1044,1372
"99",949,1069
"100",864,799
"101",846,668
"102",691,803
"103",18,1008
"104",-104,924
"105",-52,892
"106",-14,944
"107",229,1005
"108",583,1054
"109",1178,1488
"110",1390,1989
"111",1321,1704
"112",1257,1361
"113",1200,1164
"114",1175,941
"115",1397,886
"116",1739,1342
"117",1804,1846
"118",1934,1939
"119",2089,1910
"120",2198,1850
"121",2222,1767
"122",2213,1830
"123",2114,1752
"124",1944,1679
"125",1700,1579
"126",1439,1539
"127",1298,1530
"128",1206,1534
"129",1091,1494
"130",1011,1499
"131",1102,1539
"132",1272,1666
"133",796,1749
"134",946,1587
"135",768,1245
"136",612,794
"137",742,493
"138",999,491
"139",985,659
"140",727,697
"141",607,513
"142",653,324
"143",767,351
"144",812,497
"145",810,575
"146",859,519
"147",1011,353
"148",1189,192
"149",1249,132
"150",1046,205
"151",620,301
"152",190,364
"153",-25,421
"154",-71,531
"155",-137,713
"156",-311,787
"157",-315,672
"158",-81,476
"159",329,386
"160",733,414
"161",1003,366
"162",982,309
"163",1100,1041
"164",1125,1547
"165",857,1580
"166",764,1583
"167",725,1783
"168",668,2066
"169",557,2126
"170",511,1873
"171",511,1565
"172",511,1328
"173",710,1325
"174",1045,1479
"175",1203,1429
"176",1325,1125
"177",1584,810
"178",1766,685
"179",1736,635
"180",1560,803
"181",1311,1118
"182",906,1507
"183",672,1789
"184",650,1888
"185",857,1922
"186",1370,2020
"187",1629,2029
"188",1580,1909
"189",1408,1653
"190",1268,1455
"191",1265,1431
"192",1354,1723
"193",802,1721
"194",540,1225
"195",654,724
"196",763,570
"197",804,659
"198",772,646
"199",597,480
"200",481,311
"201",586,266
"202",876,488
"203",891,603
"204",802,537
"205",766,447
"206",827,463
"207",605,680
"208",305,979
"209",31,1103
"210",-31,1098
"211",168,1383
"212",872,1344
"213",1395,1448
"214",1595,1661
"215",1615,1823
"216",1454,1838
"217",1144,1678
"218",334,1219
"219",217,667
"220",85,637
"221",53,812
"222",76,851
"223",93,816
"224",49,906
"225",-111,1164
"226",-271,1286
"227",-379,1157
"228",-414,1002
"229",-324,913
"230",-200,943
"231",-262,1224
"232",-449,1534
"233",-458,1675
"234",-409,1928
"235",-292,2294
"236",549,2113
"237",1365,1801
"238",1873,1557
"239",2066,1526
"240",2145,1849
"241",1761,1934
"242",1128,1671
"243",867,1224
"244",1069,888
"245",1368,864
