"","c_d","s_d"
"1",1071,39
"2",986,267
"3",822,365
"4",679,231
"5",678,10
"6",806,-20
"7",934,45
"8",920,151
"9",951,70
"10",1085,83
"11",1164,212
"12",996,212
"13",814,-22
"14",785,-63
"15",788,332
"16",486,901
"17",-4,1131
"18",-191,1005
"19",-169,956
"20",-93,1125
"21",-112,1286
"22",-206,1220
"23",-260,948
"24",-27,703
"25",486,921
"26",1339,1341
"27",1201,1553
"28",973,1601
"29",822,1420
"30",815,1140
"31",1000,1151
"32",515,985
"33",435,755
"34",507,553
"35",584,382
"36",702,223
"37",1320,314
"38",1873,696
"39",2026,980
"40",2094,1141
"41",1960,1086
"42",1690,1044
"43",1534,1270
"44",833,1487
"45",548,1439
"46",447,1147
"47",398,770
"48",476,709
"49",500,1158
"50",429,1669
"51",268,1561
"52",327,1179
"53",634,819
"54",763,740
"55",619,665
"56",1421,907
"57",1396,1062
"58",1425,1120
"59",1461,982
"60",1544,687
"61",1636,473
"62",1546,513
"63",1304,610
"64",1027,592
"65",875,442
"66",886,283
"67",1137,359
"68",1491,745
"69",1675,1101
"70",1641,1209
"71",1587,977
"72",1622,752
"73",1705,763
"74",1697,923
"75",1612,1053
"76",1623,1255
"77",1763,1457
"78",1967,1709
"79",2033,1919
"80",1849,2014
"81",1386,1888
"82",970,1580
"83",887,1262
"84",937,1273
"85",977,1377
"86",1021,1319
"87",1165,1129
"88",1445,1100
"89",1772,1328
"90",1699,1873
"91",1089,2107
"92",713,2059
"93",548,1641
"94",566,1346
"95",734,1277
"96",809,1360
"97",1127,1849
"98",1724,1811
"99",1830,1392
"100",1985,996
"101",1973,711
"102",1955,603
"103",1915,647
"104",1864,946
"105",1841,1331
"106",1864,1624
"107",1847,1528
"108",2029,1207
"109",2213,1034
"110",2257,1185
"111",2156,1448
"112",1965,1752
"113",1497,1602
"114",1160,1254
"115",1260,1146
"116",1452,1401
"117",1419,1648
"118",1418,1709
"119",1552,1653
"120",1731,1773
"121",1550,1750
"122",1098,1256
"123",1119,644
"124",939,257
"125",649,103
"126",451,208
"127",416,618
"128",383,1156
"129",250,1362
"130",154,1165
"131",203,854
"132",324,634
"133",438,513
"134",513,446
"135",582,416
"136",614,476
"137",629,463
"138",683,315
"139",851,221
"140",928,331
"141",711,413
"142",342,400
"143",175,416
"144",241,573
"145",400,782
"146",494,864
"147",519,769
"148",563,717
"149",591,825
"150",595,1032
"151",821,1362
"152",1733,1740
"153",1645,1811
"154",1441,1705
"155",1285,1419
"156",1216,1071
"157",1232,811
"158",1242,745
"159",1202,846
"160",1080,1025
"161",894,1044
"162",753,959
"163",703,864
"164",736,867
"165",773,930
"166",713,933
"167",660,719
"168",774,442
"169",932,275
"170",902,168
"171",809,58
"172",763,-59
"173",811,-81
"174",955,194
"175",882,618
"176",643,825
"177",583,673
"178",681,444
"179",902,559
"180",1046,1200
"181",922,1494
"182",836,1629
"183",935,1479
"184",838,1284
"185",637,704
"186",666,-78
"187",999,-334
"188",1124,-205
"189",868,95
"190",389,96
"191",238,-66
"192",464,62
"193",656,552
"194",566,1001
"195",360,1068
"196",379,961
"197",636,957
"198",891,1084
"199",1173,1308
"200",2056,1366
"201",1987,1278
"202",1873,1225
"203",1770,1133
"204",1700,1139
"205",1664,1363
"206",921,1477
"207",439,1133
"208",188,720
"209",23,358
"210",-49,184
"211",52,402
"212",99,993
"213",-15,1517
"214",-202,1625
"215",-80,1528
"216",466,1450
"217",1070,1476
"218",1386,1462
"219",1358,1254
"220",1206,1058
"221",890,963
"222",374,904
"223",146,1003
"224",803,1048
"225",867,1099
"226",811,1181
"227",808,1173
"228",895,1182
"229",1350,1324
"230",1727,1494
"231",1936,1468
"232",2050,1370
"233",2064,1409
"234",1964,1609
"235",1725,1597
"236",1443,1325
"237",1364,1116
"238",1430,1281
"239",1400,1715
"240",1341,2241
"241",1131,2446
"242",632,2334
"243",721,1562
"244",969,768
"245",997,166
