"","c_d","s_d"
"1",-3,1064
"2",-128,697
"3",-512,688
"4",-476,1082
"5",519,1367
"6",1016,1300
"7",1111,116
"8",966,-84
"9",594,-300
"10",459,54
"11",-4,464
"12",-196,511
"13",71,589
"14",511,716
"15",511,-116
"16",762,-512
"17",911,-512
"18",302,-57
"19",-26,843
"20",372,1321
"21",568,818
"22",485,511
"23",472,957
"24",511,1326
"25",19,929
"26",-244,1098
"27",203,1279
"28",402,1318
"29",511,944
"30",511,101
"31",511,-89
"32",246,-416
"33",79,-472
"34",-177,303
"35",-512,1133
"36",-286,1534
"37",368,1534
"38",835,1509
"39",511,462
"40",511,53
"41",-137,503
"42",-258,698
"43",-224,984
"44",60,826
"45",511,437
"46",1031,95
"47",1534,-200
"48",1275,-512
"49",66,-35
"50",-90,902
"51",511,1449
"52",977,769
"53",1534,373
"54",1534,-222
"55",1326,-512
"56",462,134
"57",365,511
"58",731,754
"59",555,1089
"60",511,714
"61",511,174
"62",291,446
"63",534,511
"64",820,511
"65",565,405
"66",511,424
"67",511,344
"68",511,377
"69",270,892
"70",51,1277
"71",440,1534
"72",756,1534
"73",1040,1534
"74",1383,1501
"75",1534,762
"76",1365,366
"77",511,645
"78",484,1522
"79",326,1534
"80",94,1534
"81",72,1516
"82",-139,1164
"83",-237,511
"84",57,511
"85",490,511
"86",1138,511
"87",678,511
"88",-401,715
"89",-512,1018
"90",-349,725
"91",325,726
"92",511,552
"93",511,398
"94",511,285
"95",495,365
"96",-33,485
"97",-306,633
"98",-95,1139
"99",259,1460
"100",511,1202
"101",762,592
"102",961,86
"103",10,155
"104",-280,541
"105",40,988
"106",465,1368
"107",818,858
"108",1495,454
"109",1419,-58
"110",995,-295
"111",683,66
"112",511,195
"113",511,51
"114",428,391
"115",505,511
"116",391,-316
"117",-291,-501
"118",-512,79
"119",-310,1057
"120",551,940
"121",1018,511
"122",786,511
"123",337,690
"124",372,1280
"125",397,1534
"126",511,1189
"127",511,453
"128",424,511
"129",459,511
"130",5,-245
"131",-512,-382
"132",-512,650
"133",-373,1534
"134",662,1534
"135",1273,1320
"136",1534,939
"137",1534,615
"138",1534,438
"139",1508,511
"140",1086,511
"141",402,511
"142",511,721
"143",520,690
"144",958,511
"145",1447,504
"146",1090,111
"147",35,751
"148",295,1184
"149",511,604
"150",511,491
"151",511,739
"152",612,511
"153",351,511
"154",-10,511
"155",111,511
"156",550,511
"157",836,404
"158",699,213
"159",597,472
"160",554,511
"161",962,511
"162",1139,511
"163",773,-147
"164",511,13
"165",22,-164
"166",-442,-186
"167",-512,597
"168",-512,1141
"169",-512,1444
"170",-70,1534
"171",608,866
"172",758,511
"173",254,511
"174",-425,1252
"175",-406,825
"176",-58,511
"177",115,605
"178",-207,917
"179",-334,1075
"180",-150,1314
"181",324,1534
"182",998,1480
"183",1435,1099
"184",1534,415
"185",1448,118
"186",1338,-376
"187",1424,-512
"188",1099,-512
"189",1128,50
"190",1260,517
"191",817,1193
"192",664,1534
"193",817,1534
"194",781,1534
"195",744,814
"196",716,511
"197",316,511
"198",511,622
"199",511,728
"200",511,812
"201",981,511
"202",1503,511
"203",1235,138
"204",734,-214
"205",511,-169
"206",408,359
"207",-395,562
"208",78,1376
"209",550,1063
"210",800,511
"211",537,511
"212",511,1094
"213",645,511
"214",877,511
"215",728,511
"216",406,511
"217",872,1300
"218",938,1345
"219",1109,1089
"220",1534,448
"221",1534,-30
"222",1284,-512
"223",226,-512
"224",-262,-201
"225",-512,415
"226",-512,1415
"227",94,1534
"228",959,1307
"229",594,662
"230",511,452
"231",452,511
"232",1138,341
"233",1278,-302
"234",1319,-512
"235",591,-145
"236",405,998
"237",511,827
"238",511,132
"239",380,19
"240",-193,-38
"241",-295,-298
"242",150,-512
"243",449,-512
"244",718,-512
"245",1428,237
